id,psp_id,psp_desc,ente_cf,ente_desc,ente_cap,ente_prov,pag_importo,pag_data,tipo_dovuto
43632434,ABI05034,Banco BPM S.p.A.,83005620154,Comune di Limbiate,20812,MB,342.03,2026-01-14T00:00:00.000,si_nido
43632433,ABI03296,Banca Fideuram,80005370137,Comune di Como,22100,CO,86.70,2026-01-14T00:00:00.000,meg_preavvisi_cds
43632432,CIPBITMM,Nexi,00424960136,Comune di Inverigo,22044,CO,100.00,2026-01-14T00:00:00.000,app_mensascolastica
43632431,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,515.41,2026-01-14T00:00:00.000,Tassa Auto
43632430,WOLLNLB1,Worldpay BV,00464720176,Comune di Castenedolo,25014,BS,74.00,2026-01-14T00:00:00.000,dt_mensascolastica
43632429,BCITITMM,Intesa Sanpaolo S.p.A,02030880153,Comune di Monza,20900,MI,378.00,2026-01-14T00:00:00.000,pd_nido
43632428,BCITITMM,Intesa Sanpaolo S.p.A,00462110123,Comune di Porto Ceresio,21050,VA,45.00,2026-01-14T00:00:00.000,impostasoggiorno
43632427,UNCRITMM,UniCredit S.p.A.,80050050154,Regione Lombardia,20124,MI,188.08,2026-01-14T00:00:00.000,Tassa Auto
43632426,ABI03062,Banca Mediolanum SpA,08558150150,Autostrada Pedemontana Lombarda Spa,20159,MI,53.45,2026-01-14T00:00:00.000,solleciti
43632425,ABI03069,Intesa Sanpaolo S.p.A,00801220153,Comune di Bollate,20021,MI,82.20,2026-01-14T00:00:00.000,pj_mensascolastica
43632424,CIPBITMM,Nexi,80050050154,Regione Lombardia,20124,MI,25.00,2026-01-14T00:00:00.000,Tassa Auto
43632423,CRPPIT2PXXX,Crédit Agricole Cariparma S.p.A.,01629400191,ASST di Cremona,26100,CR,17.90,2026-01-14T00:00:00.000,PRENOTA_SALUTE
43632422,WOLLNLB1,Worldpay BV,00297960197,Comune di Cremona,26100,CR,100.00,2026-01-14T00:00:00.000,app_retta_infanzia
43632421,PPAYITR1XXX,Postepay,03510050127,ASST Dei Sette Laghi,21100,VA,25.00,2026-01-14T00:00:00.000,PRENOTA_SALUTE
43632420,WOLLNLB1,Worldpay BV,00761890177,Comune di Brescia,25121,BS,121.10,2026-01-14T00:00:00.000,violazionecodicestrada
43632419,ABI05034,Banco BPM S.p.A.,09319690963,ASST Fatebenefratelli Sacco,20157,MI,36.00,2026-01-14T00:00:00.000,TICKET_SANITARIO
43632418,SELBIT2B,Banca Sella S.p.A.,09323530965,ASST Rhodense,20024,MI,36.00,2026-01-14T00:00:00.000,PRENOTA_SALUTE
43632412,CIPBITMM,Nexi,00761890177,Comune di Brescia,25121,BS,223.52,2026-01-14T00:00:00.000,arc_cimiterialifissi
43632411,CIPBITMM,Nexi,09315660960,ASST Grande Ospedale Metropolitano Niguarda,20162,MI,12.75,2026-01-14T00:00:00.000,TICKET_SANITARIO
