EquipID,License#,Year,Make,Model,Description,Dept,InServiceDate,Estimated Replacement Year,Equipment Type,InServiceCost,Asset Weight Category,System Group,Fuel Type
F0419,,2007,DAKO,FIRE,BOAT - STEEL HULL - 106,SFD,05/15/2007,0,BOAT - FIRE,"$20,000,000.00",OFFROAD HEAVY,OTHER,NON
32528,,1984,NICH,BOAT,BOAT - ALUMINUM HULL - 96,SFD,01/01/1984,2034,BOAT - FIRE,"$11,500,000.00",OFFROAD HEAVY,OTHER,DSL
F0418,,2007,META,FIRE,BOAT - ALUMINUM HULL - 50,SFD,05/15/2007,,BOAT - FIRE,"$2,100,000.00",OFFROAD LIGHT,OTHER,NON
33422,,2014,META,FIRE,BOAT FAST ATTACK FIREBOAT - 50 FT,SFD,06/29/2015,,BOAT - FIRE,"$2,012,309.39",OFFROAD LIGHT,OTHER,NON
33456,,2015,RZMA,TOUR BOAT,TOUR BOAT,SCL,05/11/2016,2055,BOAT,"$1,621,742.97",OFFROAD LIGHT,OTHER,DSL
34814,71413D,2020,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,01/13/2021,2039,FIRE - LADDER TRUCK,"$1,565,409.07",CLASS 8,FIRE APPARATUS,DSL
33939,66188D,2017,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,05/22/2018,2036,FIRE - LADDER TRUCK,"$1,414,348.64",CLASS 8,FIRE APPARATUS,DSL
33938,66123D,2017,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,03/09/2018,2036,FIRE - LADDER TRUCK,"$1,403,710.31",CLASS 8,FIRE APPARATUS,DSL
35130,72761D,2021,PIER,ARROWXT,TRUCK - HEAVY RESCUE,SFD,11/10/2022,2040,TRUCK - HEAVY,"$1,320,126.24",CLASS 8,TRUCK,DSL
80416,44195D,2006,SPAR,DIAMOND,TRUCK - AIR COMPRESSOR SUPPLY,SFD,01/01/2007,,TRUCK - HEAVY,"$1,315,612.00",CLASS 8,TRUCK,DSL
33964,64662D,2017,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,07/31/2017,2035,FIRE - LADDER TRUCK,"$1,299,810.46",CLASS 8,FIRE APPARATUS,DSL
33549,61769D,2016,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,10/17/2016,2034,FIRE - LADDER TRUCK,"$1,244,307.01",CLASS 8,FIRE APPARATUS,DSL
32536,59384D,2015,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,04/02/2015,2033,FIRE - LADDER TRUCK,"$1,198,244.99",CLASS 8,FIRE APPARATUS,DSL
35509,74685D,2023,FREI,114SD,CO2 VAULT FIRE RESPONSE,SCL,05/23/2023,2048,TRUCK - HEAVY,"$1,198,122.90",CLASS 8,TRUCK,DSL
32151,57722D,2013,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,02/27/2014,2032,FIRE - LADDER TRUCK,"$1,173,376.25",CLASS 8,FIRE APPARATUS,DSL
33923,66750D,2018,PIER,ARROWXT,HAZMAT UNIT,SFD,10/05/2018,2038,TRUCK - HEAVY,"$1,172,124.58",CLASS 8,FIRE APPARATUS,DSL
31980,56129D,2013,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,06/25/2013,2030,FIRE - LADDER TRUCK,"$1,143,689.99",CLASS 8,FIRE APPARATUS,DSL
32095,57079D,2013,COND,170S,TRUCK - AERIAL LIFT - 170`,SCL,11/04/2013,2033,TRUCK - AERIAL - BUCKET,"$1,116,130.44",CLASS 8,TRUCK,DSL
80406,44193D,2006,PIER,ARROWXT,TRUCK - HEAVY RESCUE,SFD,05/02/2007,0,TRUCK - HEAVY RESCUE TRUCK,"$1,100,000.00",CLASS 8,TRUCK,DSL
80407,42575D,2006,PIER,ARROWXT,TRUCK - HAZMAT UNIT,SFD,10/31/2006,,TRUCK - HAZMAT UNIT,"$1,100,000.00",CLASS 8,TRUCK,DSL
31499,54315D,2011,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,02/29/2012,2029,FIRE - LADDER TRUCK,"$1,073,607.11",CLASS 8,FIRE APPARATUS,DSL
30940,57707D,2010,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,09/01/2010,2028,FIRE - LADDER TRUCK,"$1,071,935.22",CLASS 8,FIRE APPARATUS,DSL
95440,50679D,2009,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,10/01/2009,2025,FIRE - LADDER TRUCK,"$1,044,117.03",CLASS 8,FIRE APPARATUS,DSL
95441,50678D,2009,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,10/01/2009,2026,FIRE - LADDER TRUCK,"$1,042,923.65",CLASS 8,FIRE APPARATUS,DSL
30862,47990D,2009,PIER,ARROWXT,AERIAL - TRACTOR DRAWN,SFD,03/01/2010,2027,FIRE - LADDER TRUCK,"$1,040,708.86",CLASS 8,FIRE APPARATUS,DSL
32141,57708D,2013,PIER,ARROWXT,TRUCK - HEAVY RESCUE,SFD,02/14/2014,2033,TRUCK - HEAVY RESCUE TRUCK,"$970,170.05",CLASS 8,TRUCK,DSL
35818,80518D,2024,PIER,ENFORCER,PUMPER - TOP MOUNTED CONTROLS,SFD,01/30/2025,2042,FIRE - PUMPER,"$905,013.96",CLASS 8,FIRE APPARATUS,DSL
35819,80519D,2024,PIER,ENFORCER,PUMPER - TOP MOUNTED CONTROLS,SFD,01/29/2025,2042,FIRE - PUMPER,"$901,861.39",CLASS 8,FIRE APPARATUS,DSL
35693,79192D,2021,PETE,567,DIGGER DERRICK,SCL,08/30/2024,2040,TRUCK - DIGGER DERRICK,"$876,607.00",CLASS 8,TRUCK,DSL
35541,73865D,2021,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,11/28/2022,2039,FIRE - PUMPER,"$872,931.90",CLASS 8,FIRE APPARATUS,DSL
35540,73864D,2021,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,01/19/2023,2040,FIRE - PUMPER,"$872,748.57",CLASS 8,FIRE APPARATUS,DSL
32394,,1948,CUST,TUGBOAT,BOAT TUG 40 FOOT,SCL,01/01/1948,2018,BOAT,"$850,000.00",OFFROAD HEAVY,OTHER,DSL
70765,51418D,2010,PETE,340,TRUCK - OIL PROCESSING - CLASS 8,SCL,02/24/2010,2030,TRUCK - HEAVY,"$847,342.00",CLASS 8,TRUCK,DSL
78386,49430D,2008,INTR,7400,TRUCK - CABLE PULLER - CLASS 8,SCL,03/02/2009,2023,TRUCK - CABLE PULLER,"$829,697.82",CLASS 8,TRUCK,DSL
35161,72634D,2021,PIER,ENFORCER,PUMPER - TOP MOUNT - 1500 GPM - 500 GAL,SFD,12/23/2021,2038,FIRE - PUMPER,"$799,571.04",CLASS 8,FIRE APPARATUS,DSL
